타차, 66, 158
바하, 71, 153
가나, 88, 175
타나, 96, 176
차하, 41, 191
다아, 80, 171
카가, 76, 192
마다, 64, 152
차가, 56, 175
파라, 53, 147
다나, 44, 197
하가, 91, 196
아나, 47, 161
타나, 50, 146
하가, 68, 175
가하, 98, 184
자자, 74, 172
사마, 85, 180
차차, 73, 150
차사, 44, 159
마아, 64, 170
가하, 51, 177
나바, 86, 150
마사, 46, 173
타파, 46, 160
마파, 70, 192
자타, 75, 187
자카, 59, 185
바아, 47, 189
하나, 58, 162
하아, 77, 147
파아, 74, 196
가파, 89, 159
차자, 89, 183
파자, 49, 185
하나, 87, 143
자나, 43, 152
바사, 84, 196
마자, 67, 163
하가, 84, 196
다하, 73, 197
사바, 80, 174
하차, 40, 148
타카, 43, 171
가차, 74, 145
나자, 58, 182
아사, 79, 192
아다, 87, 165
다나, 72, 146
차라, 45, 167
자라, 85, 160
가하, 55, 163
파바, 69, 147
다파, 46, 182
차사, 46, 175
자아, 83, 160
아나, 79, 151
바바, 97, 171
마타, 96, 177
파차, 51, 164
다사, 94, 155
아파, 54, 188
마마, 57, 184
사자, 97, 151
타아, 44, 192
사가, 81, 148
마하, 99, 148
나타, 67, 153
차바, 42, 146
하자, 60, 192
하카, 48, 162
차라, 67, 153
가사, 44, 177
라차, 64, 186
마가, 43, 177
카라, 95, 140
카마, 96, 141
카바, 71, 196
타나, 52, 154
차카, 61, 190
사카, 94, 179
다카, 88, 181
사하, 92, 142
마차, 55, 187
카라, 97, 183
라마, 53, 183
아아, 50, 162
타차, 85, 189
카다, 68, 157
나나, 76, 166
파타, 47, 178
자다, 94, 176
타타, 91, 144
마마, 58, 164
타바, 55, 157
라바, 55, 144
자타, 54, 197
다마, 77, 191
타가, 73, 153
아자, 89, 154
하차, 98, 156
타파, 71, 141
파차, 65, 149
사사, 62, 167
차사, 66, 168
사하, 51, 182
파마, 59, 149
사카, 47, 175
라하, 82, 156
다나, 92, 161
카파, 88, 141
자라, 93, 155
마마, 78, 173
나다, 87, 160
하가, 83, 148
라다, 53, 142
파파, 76, 173
차파, 69, 183
다가, 49, 154
마사, 58, 159
파라, 87, 140
바하, 91, 141
라마, 47, 173
아타, 96, 195
카자, 75, 164
차아, 42, 191
사나, 95, 166
가차, 79, 184
라타, 99, 152
파바, 44, 184
아자, 80, 152
타가, 81, 180
파파, 82, 194
아파, 93, 163
카타, 52, 197
나아, 72, 154
하자, 63, 191
아바, 52, 185
바카, 78, 147
사바, 91, 145
나차, 61, 168
차하, 93, 160
다마, 86, 148
라라, 65, 181
카사, 89, 159
하라, 77, 180
가파, 47, 161
나하, 66, 161
하자, 83, 158
나가, 76, 177
라나, 46, 165
라마, 41, 177
마사, 92, 158
라바, 72, 141
라파, 89, 194
아다, 82, 160
사마, 73, 164
하자, 90, 165
나바, 82, 146
타라, 53, 165
카나, 53, 148
하사, 57, 198
차마, 82, 166
파마, 94, 190
라아, 80, 183
사하, 61, 162
가하, 50, 196
마가, 64, 183
사아, 79, 160
마라, 74, 177
하차, 74, 169
카차, 81, 179
하차, 64, 169
타가, 64, 153
파타, 55, 165
차바, 76, 148
마하, 72, 153
차나, 63, 182
파가, 46, 149
자마, 54, 182
타하, 81, 175
파아, 74, 199
하아, 84, 156
하나, 76, 183
가하, 51, 171
바자, 95, 179
타마, 85, 149
마자, 65, 187
바카, 83, 185
타차, 67, 174
파자, 79, 158
차바, 53, 165
나가, 61, 197
파나, 66, 172
아나, 99, 184
카가, 55, 154
마가, 53, 186
자나, 69, 178
가다, 51, 153
아마, 67, 165
차하, 60, 183
아파, 88, 141
나라, 53, 190
바나, 82, 144
나자, 90, 149
자자, 67, 186
사카, 59, 176
라가, 45, 182
아마, 83, 187
차아, 66, 187
가타, 53, 146
라라, 53, 166
차사, 93, 145
차라, 91, 164
차가, 85, 155
라라, 85, 191
카하, 80, 189
라라, 77, 195
마사, 84, 140
차나, 52, 155
파라, 77, 195
나가, 50, 166
아나, 77, 155
다자, 55, 180
하하, 81, 152
라가, 42, 197
다차, 56, 178
파사, 66, 150
사하, 76, 197
자아, 69, 190
카사, 82, 159
라파, 65, 192
카하, 68, 168
타카, 69, 158
가자, 80, 158
차차, 69, 175
파차, 98, 193
카가, 89, 145
가하, 66, 144
나타, 55, 172
차사, 65, 163
사아, 51, 183
다라, 45, 183
다나, 87, 170
바자, 98, 176
아타, 68, 167
다라, 98, 161
타나, 95, 169
파자, 93, 188
라카, 59, 166
바타, 55, 140
마라, 77, 178
나파, 85, 147
다사, 50, 161
사카, 76, 197
가차, 63, 190
카사, 76, 191
카다, 85, 169
바타, 63, 179
마다, 72, 170
나라, 69, 158
사차, 78, 153
다파, 77, 173
하나, 43, 157
하하, 48, 166
아다, 78, 150
마다, 60, 199
라사, 50, 142
차마, 72, 184
파사, 89, 146
아가, 85, 148
하하, 59, 144
바라, 50, 168
카나, 61, 181
라아, 74, 182
사파, 66, 179
가파, 87, 166
차사, 92, 195
타마, 87, 146
바카, 48, 187
아아, 74, 179
마라, 43, 153
카카, 53, 196
아타, 47, 195
아타, 85, 184
바라, 81, 154
타바, 46, 183
파라, 70, 174
다아, 58, 165
카나, 81, 187
나가, 71, 144
카하, 63, 177
바차, 60, 161
자나, 80, 176
카아, 43, 142
자라, 91, 156
마타, 45, 164
나아, 91, 153
라마, 60, 195
라카, 91, 181
라사, 55, 147
가자, 46, 191
마카, 93, 185
차아, 92, 155
자가, 68, 164
다나, 52, 158
차가, 70, 164
아하, 60, 166
타다, 64, 144
라사, 53, 157
타바, 51, 174
카하, 40, 190
사바, 92, 159
타자, 63, 162
카자, 41, 165
하하, 66, 181
다타, 53, 197
타타, 54, 179
카나, 55, 185
다아, 78, 154
아차, 46, 184
자하, 81, 147
차하, 87, 195
마나, 46, 166
사다, 84, 144
바마, 98, 143
마차, 40, 163
타마, 64, 162
나라, 76, 182
바마, 80, 172
카사, 83, 184
사사, 88, 193
자나, 95, 180
다아, 48, 194
바자, 49, 175
자라, 52, 147
사자, 71, 185
타가, 72, 182
가하, 49, 178
아파, 94, 154
마바, 73, 165
가자, 88, 190
사사, 91, 141
사다, 57, 165
파자, 76, 159
차파, 50, 145
차바, 93, 165
파자, 42, 174
마카, 63, 140
차타, 73, 176
파하, 86, 159
카자, 51, 158
차아, 72, 162
나다, 87, 192
사아, 80, 194
카라, 59, 154
파타, 51, 171
가라, 74, 192
자아, 87, 153
가자, 42, 197
가다, 45, 162
하자, 46, 193
마파, 66, 180
다바, 58, 152
사자, 68, 145
자파, 97, 188
가다, 84, 141
사타, 91, 166
하나, 47, 170
라아, 41, 184
하다, 63, 145
나나, 59, 154
나다, 95, 194
카파, 71, 156
자타, 65, 159
라카, 69, 189
하하, 70, 187
하라, 81, 153
카바, 92, 150
자사, 78, 160
자마, 44, 185
가나, 72, 197
파아, 82, 188
다마, 69, 168
마차, 41, 168
파차, 72, 159
사카, 96, 147
자마, 87, 183
바파, 86, 169
파사, 90, 164
아아, 66, 188
카자, 81, 141
다카, 54, 147
아사, 95, 194
바사, 97, 181
바바, 76, 176
하나, 96, 174
자하, 75, 194
자차, 97, 162
파차, 41, 196
가자, 41, 189
나가, 77, 160
카가, 52, 197
라다, 71, 164
나다, 59, 189
파파, 81, 188
아사, 70, 144
사파, 53, 181
차라, 69, 141
바차, 42, 176
타라, 66, 191
카차, 69, 161
마파, 78, 177
가라, 84, 190
카타, 72, 179
카가, 62, 197
나나, 40, 187
라마, 55, 175
카타, 92, 155
가바, 90, 151
아나, 67, 196
아바, 49, 179
사라, 59, 177
하카, 96, 155
마하, 79, 153
다자, 74, 146
하마, 40, 151
파가, 73, 150
마카, 98, 157
가하, 94, 192
아마, 98, 187
라카, 40, 194
다자, 90, 156
라카, 53, 156
타하, 50, 199
차라, 83, 199
타자, 55, 149
차나, 61, 197
타나, 84, 196
가카, 45, 165
파나, 78, 165
마하, 99, 178
마가, 56, 166
바카, 58, 140
아카, 93, 157
하자, 53, 179
라라, 96, 152
아마, 86, 158
